"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
PB,SC,-7.053690918143463,-36.18945874369153,-27.233756086210168,-49.96532630581995,1516.84
PB,SP,-7.053690918143463,-36.18945874369153,-23.191158107928256,-47.05378549380357,30721.54
PE,BA,-8.252919762977053,-35.94553525314061,-12.989871851119448,-39.615591300124855,1056.01
PE,CE,-8.252919762977053,-35.94553525314061,-4.628164063264693,-39.12452010467055,133.49
PE,DF,-8.252919762977053,-35.94553525314061,-15.790607098465964,-48.041233449700464,283.75
PE,ES,-8.252919762977053,-35.94553525314061,-19.90141177780134,-40.691985842305776,278.88
PE,GO,-8.252919762977053,-35.94553525314061,-16.544386780171276,-49.27402937998611,299.64
PE,MA,-8.252919762977053,-35.94553525314061,-3.9751512906138347,-44.82710896397979,567.86
PE,MG,-8.252919762977053,-35.94553525314061,-19.768131943331838,-44.25358623321739,5101.01
PE,MT,-8.252919762977053,-35.94553525314061,-14.24217021245117,-55.43095256054814,187.33
PE,PB,-8.252919762977053,-35.94553525314061,-7.053690918143463,-36.18945874369153,32.47
PE,PE,-8.252919762977053,-35.94553525314061,-8.252919762977053,-35.94553525314061,321.42
PE,PI,-8.252919762977053,-35.94553525314061,-6.118307834918054,-42.45894693466691,24.94
PE,PR,-8.252919762977053,-35.94553525314061,-24.51761690736683,-51.13921446386092,5872.66
PE,RJ,-8.252919762977053,-35.94553525314061,-22.62313258857956,-43.189515153563526,6446.63
PE,RS,-8.252919762977053,-35.94553525314061,-29.405371844827677,-51.99545799943851,1127.61
PE,SC,-8.252919762977053,-35.94553525314061,-27.233756086210168,-49.96532630581995,2302.18
PE,SE,-8.252919762977053,-35.94553525314061,-10.760415681767354,-37.20220554149861,109.2
PE,SP,-8.252919762977053,-35.94553525314061,-23.191158107928256,-47.05378549380357,49686.28
PI,BA,-6.118307834918054,-42.45894693466691,-12.989871851119448,-39.615591300124855,407.73
PI,CE,-6.118307834918054,-42.45894693466691,-4.628164063264693,-39.12452010467055,53.08
PI,DF,-6.118307834918054,-42.45894693466691,-15.790607098465964,-48.041233449700464,210.31
PI,ES,-6.118307834918054,-42.45894693466691,-19.90141177780134,-40.691985842305776,139.95
PI,GO,-6.118307834918054,-42.45894693466691,-16.544386780171276,-49.27402937998611,87.88
PI,MA,-6.118307834918054,-42.45894693466691,-3.9751512906138347,-44.82710896397979,86.9
PI,MG,-6.118307834918054,-42.45894693466691,-19.768131943331838,-44.25358623321739,1446.23
PI,PE,-6.118307834918054,-42.45894693466691,-8.252919762977053,-35.94553525314061,172.27
PI,PI,-6.118307834918054,-42.45894693466691,-6.118307834918054,-42.45894693466691,20.08
PI,PR,-6.118307834918054,-42.45894693466691,-24.51761690736683,-51.13921446386092,2746.35
PI,RJ,-6.118307834918054,-42.45894693466691,-22.62313258857956,-43.189515153563526,1552.96
PI,RS,-6.118307834918054,-42.45894693466691,-29.405371844827677,-51.99545799943851,703.22
PI,SC,-6.118307834918054,-42.45894693466691,-27.233756086210168,-49.96532630581995,1043.71
PI,SP,-6.118307834918054,-42.45894693466691,-23.191158107928256,-47.05378549380357,18431.32
PR,BA,-24.51761690736683,-51.13921446386092,-12.989871851119448,-39.615591300124855,733.08
PR,CE,-24.51761690736683,-51.13921446386092,-4.628164063264693,-39.12452010467055,395.29
PR,DF,-24.51761690736683,-51.13921446386092,-15.790607098465964,-48.041233449700464,1300.35
PR,ES,-24.51761690736683,-51.13921446386092,-19.90141177780134,-40.691985842305776,662.29
PR,GO,-24.51761690736683,-51.13921446386092,-16.544386780171276,-49.27402937998611,1486.84
PR,MA,-24.51761690736683,-51.13921446386092,-3.9751512906138347,-44.82710896397979,285.03
PR,MG,-24.51761690736683,-51.13921446386092,-19.768131943331838,-44.25358623321739,13229.07
PR,MS,-24.51761690736683,-51.13921446386092,-21.033754693811588,-54.58754251592346,144.78
PR,MT,-24.51761690736683,-51.13921446386092,-14.24217021245117,-55.43095256054814,264.95
PR,PA,-24.51761690736683,-51.13921446386092,-2.5514788152098298,-49.34759080910092,35.75
PR,PE,-24.51761690736683,-51.13921446386092,-8.252919762977053,-35.94553525314061,359.62
